date,equity
2019-12-19,467867.614656
2019-12-20,472184.985303
2019-12-23,472076.591584
2019-12-24,472949.007868
2019-12-26,474917.530016
2019-12-27,474394.613979
2019-12-30,472352.621637
2019-12-31,473587.714775
2020-01-02,478498.751483
2020-01-03,476852.518929
2020-01-06,477192.822855
2020-01-07,477757.725526
2020-01-08,480155.838827
2020-01-09,483047.111919
2020-01-10,482825.161368
2020-01-13,487060.206026
2020-01-14,486081.099638
2020-01-15,487348.407245
2020-01-16,491661.716512
2020-01-17,493707.182017
2020-01-21,495171.596649
2020-01-22,496126.165214
2020-01-23,498669.458184
2020-01-24,494604.615891
2020-01-27,487727.044700
2020-01-28,495051.329632
2020-01-29,491529.657689
2020-01-30,493909.735738
